Date (HST),Inclination angle (degrees),Distance (km),Ht above vent elevation (m)
11/24/2008 16:37,9.5,2.29,588
11/25/2008 9:31,11,2.22,636
11/25/2008 16:37,9,2.14,544
11/26/2008 9:04,12,2.29,692
11/28/2008 16:26,12.5,1.79,602
12/1/2008 8:32,11,NA,205
12/2/2008 14:15,22.5,1.42,793
12/4/2008 8:39,22,2.2,1092
12/4/2008 16:06,16,1.93,758
12/5/2008 9:18,6.5,2.08,442
12/5/2008 16:37,7,2.19,474
12/8/2008 8:34,8.5,2.04,510
12/8/2008 16:18,8.5,2.22,536
12/29/2008 11:30,1,2.2,243
12/29/2008 14:08,5,2.9,459
12/30/2008 9:30,5,2.9,459
12/30/2008 17:38,19,2,894
1/1/2009 12:47,17,1.9,786
1/3/2009 12:40,3,2.9,357
1/4/2009 15:56,3,2.9,357
1/5/2009 10:20,8,2.9,613
1/6/2009 9:00,8,2.9,613
3/31/2009 10:30,15,2.64,912
4/9/2009 14:16,5,2.72,443
4/15/2009 8:49,3,2.71,347
4/17/2009 13:42,12,2.01,632
6/2/2009 9:44,21,2.66,1226
6/4/2009 15:55,10,2.05,566
6/5/2009 11:00,10,2.51,648
6/8/2009 17:20,17,2.57,991
6/9/2009 8:53,30,1.83,1262
6/9/2009 8:53,27,2.38,1418
6/11/2009 13:03,11,2.02,598
6/12/2009 9:10,18,1.91,826
6/13/2009 14:18,13,2.67,821
6/15/2009 8:27,11,2.73,736
6/16/2009 16:16,16,2.25,850
6/17/2009 10:22,18,2.18,913
6/18/2009 9:13,11,2.73,736
6/19/2009 9:44,4,2.73,396
6/20/2009 11:35,11,2.73,736
6/21/2009 16:48,7,2.47,508
6/23/2009 9:27,8,2.74,590
6/24/2009 10:37,12,2.74,787
6/26/2009 14:57,10,2.74,688
6/28/2009 10:35,15,2.74,939
6/29/2009 14:00,13,2.74,838
6/30/2009 8:38,37,1.06,1004
7/10/2009 12:23,2,2.74,301
8/17/2009 11:00,7,2.1,463
8/17/2009 16:20,11,2.1,613
8/18/2009 10:05,19,2.2,963
8/18/2009 15:56,13,2.2,713
8/19/2009 10:04,7,2.3,487
8/19/2009 16:15,10,1.8,522
8/20/2009 10:16,3,2.1,315
8/20/2009 16:02,9,2.1,538
8/21/2009 9:13,4,2.2,359
8/21/2009 16:12,5,2.1,389
8/24/2009 10:37,6,2,415
8/24/2009 16:24,4,2,345
8/25/2009 10:00,4,2,345
8/25/2009 16:10,5,2.1,389
8/27/2009 10:12,6,2.2,436
8/27/2009 16:10,10,2.1,575
8/28/2009 10:04,10,2.2,593
8/31/2009 9:58,7,2.5,512
8/31/2009 16:12,9,2.2,553
9/1/2009 16:01,7,2.2,475
9/2/2009 8:55,10,2.4,628
9/2/2009 16:45,9,2.6,617
9/3/2009 8:17,3,2.1,315
9/3/2009 16:50,2,1.8,268
9/8/2009 10:01,9,2.1,538
9/8/2009 16:23,4,2.1,352
9/9/2009 8:18,10,2.6,663
9/10/2009 16:43,10,2.5,646
9/11/2009 8:40,6,2.2,436
9/14/2009 9:42,28,1.6,1056
9/14/2009 15:14,9,2.1,538
9/15/2009 10:27,7,2,451
9/15/2009 10:28,9,1.7,474
9/15/2009 16:32,5,2.2,397
9/15/2009 16:33,7,2.7,537
9/16/2009 16:12,7,3,573
9/17/2009 9:17,10,2.5,646
9/17/2009 16:08,17,2.9,1092
9/18/2009 16:19,7,2.7,537
9/21/2009 10:07,15,2.2,794
9/22/2009 8:19,28,1.8,1162
9/24/2009 10:02,8,3.8,739
9/25/2009 15:51,25,2.1,1184
9/28/2009 9:58,10,2.6,663
9/29/2009 16:11,5,2.4,415
9/30/2009 15:32,5,2.4,415
10/1/2009 16:42,4,2.6,387
10/2/2009 8:42,6,2.7,489
10/5/2009 8:30,12,1.8,588
10/6/2009 16:17,10,1.7,505
10/7/2009 15:26,3,1.5,284
10/8/2009 8:27,20,2.2,1006
10/9/2009 16:04,7,2.6,524
10/13/2009 8:20,31,1.6,1166
10/14/2009 8:18,18,2.1,887
10/15/2009 16:20,9,2.1,538
10/19/2009 9:51,11,1.9,574
10/19/2009 9:52,2,2.1,278
10/20/2009 9:54,7,2,451
10/21/2009 15:46,8,1.7,444
10/22/2009 10:44,12,2,630
10/23/2009 9:43,19,2.2,963
10/26/2009 8:30,13,2.2,713
10/27/2009 8:24,12,2.3,694
10/28/2009 8:18,33,2.3,1699
10/30/2009 8:28,8,2.2,514
11/2/2009 10:41,14,2.2,754
11/3/2009 9:28,7,1.9,438
11/4/2009 15:43,4,2.1,352
11/5/2009 16:41,7,2.7,537
11/6/2009 8:59,7,3.1,586
11/10/2009 8:32,9,3,680
11/12/2009 16:39,41,0.6,727
11/16/2009 9:42,14,2.2,754
11/17/2009 14:52,6,2.9,510
11/18/2009 16:22,8,2.7,584
11/19/2009 16:44,5,2.6,432
11/20/2009 9:00,5,2.9,459
11/23/2009 10:20,7,2.6,524
11/24/2009 10:20,5,2.7,441
11/30/2009 10:03,10,2.5,646
12/1/2009 9:46,6,2.5,468
12/3/2009 11:53,11,2.1,613
12/7/2009 8:35,15,2.7,928
12/9/2009 8:27,18,1.9,822
12/10/2009 14:53,16,1.9,750
12/11/2009 9:15,10,2,558
12/14/2009 16:28,14,2.1,729
12/15/2009 10:17,32,1.7,1267
12/16/2009 11:11,31,0.6,566
12/18/2009 8:53,11,2.4,672
1/14/2010 0:00,32,1.9,1392
1/15/2010 0:00,12,1.8,588
1/15/2010 0:00,13,1.8,621
1/19/2010 0:00,8,1.85,465
1/20/2010 0:00,4,2.5,380
1/20/2010 0:00,7,2,451
1/21/2010 0:00,6,1.9,405
1/22/2010 0:00,14,1.7,629
1/25/2010 0:00,23,1.7,927
1/28/2010 0:00,14,1.8,654
1/28/2010 0:00,13,1.8,621
2/2/2010 0:00,13,1.6,574
2/4/2010 0:00,9,2,522
2/4/2010 0:00,8,2,486
2/8/2010 0:00,3,1.8,299
2/8/2010 0:00,7,1.9,438
2/9/2010 0:00,8,1.9,472
2/9/2010 0:00,13,2.1,690
2/10/2010 0:00,9,2,522
2/11/2010 0:00,6,2.1,426
2/11/2010 0:00,4,2.1,352
2/12/2010 0:00,15,1.7,661
2/12/2010 0:00,8,2,486
2/18/2010 0:00,9,2.2,553
2/18/2010 0:00,12,2.2,673
2/24/2010 0:00,21.5,1.8,914
2/25/2010 0:00,12,2.2,673
2/25/2010 0:00,9.5,2.3,590
2/26/2010 0:00,11,2.15,623
2/26/2010 0:00,14,2.2,754
3/1/2010 0:00,10,2.2,593
3/11/2010 0:00,9,2.2,553
3/15/2010 0:00,6,2.3,447
3/16/2010 0:00,20,2.2,1006
3/16/2010 0:00,21,2.1,1011
3/16/2010 0:00,23,2.1,1096
3/16/2010 0:00,20,2.2,1006
3/16/2010 0:00,30,1.8,1244
3/18/2010 0:00,21,2.1,1011
3/18/2010 0:00,8,2.15,507
3/19/2010 0:00,12,2.2,673
3/19/2010 0:00,8,2.1,500
3/22/2010 0:00,20,2,933
3/22/2010 0:00,18,1.9,822
3/23/2010 0:00,13,2.1,690
3/23/2010 0:00,9,2.2,553
3/24/2010 0:00,8,2.1,500
3/25/2010 0:00,1,1.8,236
3/25/2010 0:00,7,2.1,463
3/26/2010 0:00,7.5,1.96,463
3/26/2010 0:00,6.5,2.02,435
3/29/2010 0:00,7,2.07,459
3/29/2010 0:00,2,1.98,274
3/30/2010 0:00,7.5,2.04,474
3/30/2010 0:00,5,2.18,396
3/31/2010 0:00,7,2.2,475
3/31/2010 0:00,8,2.11,502
4/1/2010 0:00,9,2.19,552
4/1/2010 0:00,4,2.09,351
4/2/2010 0:00,7,2.1,463
4/5/2010 0:00,9,2.07,533
4/7/2010 0:00,35,2.44,1914
4/8/2010 0:00,17,2.18,871
4/9/2010 0:00,15,2.4,848
4/12/2010 0:00,8,2.23,518
4/12/2010 0:00,5,1.83,365
4/13/2010 0:00,7,1.97,447
4/20/2010 0:00,14,2.32,783
4/21/2010 0:00,9,1.98,519
4/23/2010 0:00,10,2.02,561
4/26/2010 0:00,5,1.89,370
4/28/2010 0:00,13,2.24,722
4/29/2010 0:00,9,2.41,587
5/3/2010 0:00,35,1.88,1521
5/4/2010 0:00,19,2.07,918
5/5/2010 0:00,9,2.26,563
5/5/2010 0:00,14,2.2,754
5/6/2010 0:00,9,2.19,552
5/7/2010 0:00,13,2.32,741
5/10/2010 0:00,20,2,933
5/11/2010 0:00,20,2.02,940
5/26/2010 0:00,13,2.22,718
5/27/2010 0:00,38,2.54,2189
6/4/2010 0:00,7,2.43,503
6/8/2010 0:00,8.5,2.43,568
6/24/2010 0:00,5,2.75,446
6/28/2010 0:00,13,2.42,764
6/28/2010 0:00,14,2.38,798
7/1/2010 0:00,8,2.65,577
7/1/2010 0:00,6,3.12,533
7/2/2010 0:00,8.5,2.43,568
7/7/2010 0:00,3,2.12,316
7/8/2010 0:00,12.5,2.51,761
7/9/2010 0:00,9.5,2.43,612
7/12/2010 0:00,16,2.34,876
7/13/2010 0:00,15,2.17,786
7/14/2010 0:00,15,2.69,926
7/15/2010 0:00,5,2.6,432
7/19/2010 0:00,13,2.67,821
7/19/2010 0:00,15.5,2.35,857
7/20/2010 0:00,17,2.34,920
7/20/2010 0:00,23,2.7,1351
7/21/2010 0:00,9,2.67,628
7/26/2010 0:00,11,2.4,672
7/28/2010 0:00,14,2.76,893
8/2/2010 0:00,12,2.85,811
8/3/2010 0:00,8,2.76,593
8/5/2010 0:00,8,2.31,530
8/5/2010 0:00,8,2.58,568
8/6/2010 0:00,21,2.47,1153
9/24/2010 0:00,12,2.33,700
9/27/2010 0:00,14,1.81,657
9/28/2010 0:00,12,2.23,678
9/29/2010 0:00,16,2.2,836
9/30/2010 0:00,17,1.94,798
10/1/2010 0:00,11,1.88,571
10/5/2010 0:00,4,1.77,329
10/6/2010 0:00,8,2.15,507
10/12/2010 0:00,12,2.26,686
10/13/2010 0:00,11,2.27,646
10/14/2010 0:00,12,2.1,651
10/15/2010 0:00,12,2.32,697
10/18/2010 0:00,15,2.11,770
10/19/2010 0:00,18,2.27,943
10/20/2010 0:00,21,2.32,1096
10/21/2010 0:00,29,1.53,1054
10/22/2010 8:40,8,2.13,504
10/25/2010 0:00,6,2.41,458
10/26/2010 0:00,12,2.14,660
10/27/2010 0:00,6,2.61,479
10/28/2010 0:00,-1,1.95,171
10/29/2010 0:00,8,2.21,516
11/1/2010 0:00,8,1.95,479
11/2/2010 0:00,11,2.2,632
11/3/2010 0:00,17,1.91,788
11/4/2010 0:00,4,2.6,387
11/5/2010 0:00,10,2.35,618
11/8/2010 0:00,8,2.58,567
11/9/2010 0:00,13,2.2,712
11/10/2010 0:00,6,2.67,485
11/12/2010 0:00,7,2.47,508
11/16/2010 0:00,16,2.18,830
11/17/2010 0:00,11,1.78,550
11/18/2010 0:00,25,1.79,1039
11/19/2010 0:00,33,2.63,1914
11/22/2010 0:00,20,2.34,1057
11/23/2010 0:00,19,2.92,1210
11/24/2010 0:00,9,2.48,597
11/26/2010 0:00,6,3.1,531
11/29/2010 0:00,30,1.2,898
11/30/2010 0:00,16,2.42,900
12/1/2010 0:00,7,2.69,536
12/2/2010 0:00,6,2.23,439
12/3/2010 0:00,12,2.58,753
